base_dataset,label,extended_only,thermodynamic_features_PROPER,thermodynamic_features_fine_beta_FINER_PROPER,state_and_edge_entropies,state_and_edge_entropies_fine_alpha,baseline_state_and_edge,thermodynamic_features_PROPER+extended ,thermodynamic_features_fine_beta_FINER_PROPER+extended ,state_and_edge_entropies+extended ,state_and_edge_entropies_fine_alpha+extended ,baseline_state_and_edge+extended ,thermodynamic_features_PROPER+extended +baseline_state_and_edge,thermodynamic_features_fine_beta_FINER_PROPER+extended +baseline_state_and_edge,state_and_edge_entropies+extended +baseline_state_and_edge,state_and_edge_entropies_fine_alpha+extended +baseline_state_and_edge
3D_fixations,condition_label,0.1729317140370283,0.2544311492156746,0.2525707695344604,0.2100463177143131,0.2064608412620311,0.1980676975338011,0.1659790556639451,0.2051329924369176,0.1828349998043517,0.1952164517456891,0.172436254386905,0.1764222422950909,0.1860352979393164,0.1705712058916948,0.1856272986044399
AFC_fixations,mod_label,0.1587436882201802,0.1717146346075716,0.1309458211725887,0.1577057855815435,0.153494655034848,0.1742148545382681,0.1768636514007164,0.1730585394994641,0.1300505225499161,0.1581708509387491,0.1699418508807792,0.1690346435191444,0.1705270696230295,0.1637597153588658,0.1546998259910697
AFC_fixations,scr_label,0.1987019236996104,0.2543799379950105,0.2604700607050748,0.2173074841072793,0.2345383477879904,0.2419466794466794,0.2536519177493383,0.2580106846207794,0.2187860369089861,0.2545259952967831,0.2360407841153131,0.2238560723889131,0.238660819491041,0.2352558260084865,0.2340122212377608
APP_fixations,known_label,0.5029954387637008,0.4414020952363023,0.4523496834893303,0.4377984084880637,0.4296461569266855,0.4382132462132462,0.5599520232308566,0.5620249667829345,0.536360280546327,0.558642188477082,0.5582364019053949,0.5083044538570145,0.493565057108061,0.4858802816901408,0.4894308943089431
APP_fixations,meta_certainty_label,0.1228327228327228,0.1021593047826766,0.0978365649443648,0.1047968557316293,0.1071435071435071,0.1082166900915817,0.1222799873103841,0.109036309036309,0.1104431871758604,0.1158312092891532,0.1174713912868901,0.1066445690374601,0.1083924241794477,0.1181027730560277,0.1050587206997722
APP_fixations,mod_label,0.4129352653493182,0.276923591677859,0.2453705862234071,0.2476195886935435,0.2507553517088035,0.204733088767815,0.4362059260374304,0.4341483264972582,0.4423502623625099,0.4225659576496368,0.438834336965799,0.4338490392565881,0.4168949197504564,0.4119314990773226,0.4073151672150862
Age_study_fixations,meta_age_label,0.339849457734064,0.3507795358727523,0.3396130704539181,0.3042158471294573,0.3294564935508933,0.311602715606591,0.3575666108787851,0.3767405205102235,0.3294904249976843,0.3132756337542873,0.3436872391150007,0.376428759305639,0.3674189152591345,0.3164282405005628,0.3293657601653919
Gap_fixations,gap_label,0.3755775204640406,0.2657901506223284,0.2526531283441979,0.3501115049572292,0.354675290176609,0.2517852720266093,0.3853541185310899,0.3204103452034295,0.3606973410711022,0.3670301434631617,0.3385641499364751,0.3354610954635028,0.3374321957373616,0.3550165708554907,0.3488287022214358
Memory_fixations,condition_label,0.4606747830492395,0.4057524734485813,0.4093179308505688,0.436730230332528,0.4152285314810037,0.4142676126660636,0.4691677082981431,0.4676314913344515,0.458930425237756,0.4634235413767216,0.4673510960301465,0.4777187028657617,0.4662853806952977,0.4771089706840046,0.4689903558774391
Webtask_fixations,familiarity_label,0.1573464912280701,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1619551096533539,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1571741511500547
Webtask_fixations,relevance_label,0.1732304489482504,0.1936305642588986,0.1664684475387703,0.1529884428313196,0.1582199873944139,0.1522772142359084,0.1935347930520808,0.1769698417178713,0.1935904231822599,0.1698255722013528,0.1847508830924555,0.3754768965644141,0.3258565998809127,0.3302682452608409,0.3648790155931563
Webtask_fixations,search_result_label,0.1363324991476252,0.1406204504455927,0.1267196222413757,0.1202781617447827,0.14672132646501,0.1418794379204516,0.1672123246158938,0.1468218252826833,0.1418366876822958,0.1705994696386396,0.1490566040147998,0.3432355090558112,0.315602415180106,0.3221011764761279,0.3377733793738082
Webtask_school_fixations,familiarity_label,0.235408560311284,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843
Webtask_school_fixations,relevance_label,0.1440138808559861,0.130505409630061,0.129765752454828,0.1449199710700921,0.1078016792302506,0.1456648113790971,0.1764523991414747,0.1118838151096215,0.1467169146139468,0.1360648874934589,0.1490234803598859,0.3366791160908808,0.3009265607304823,0.3160105054746426,0.3056643669436274
Webtask_school_fixations,search_result_label,0.1057875667429443,0.1225371652581203,0.1822133871469735,0.0946004695243891,0.1385742283565261,0.1339189685694245,0.1297722350615561,0.1272256323190109,0.106766917293233,0.1411813488242651,0.1294855374453062,0.2877892913812454,0.3041485094159228,0.2565558862433862,0.3089843176165596
