base_dataset,label,extended_only,thermodynamic_features_PROPER,thermodynamic_features_fine_beta_FINER_PROPER,state_and_edge_entropies,state_and_edge_entropies_fine_alpha,baseline_state_and_edge,thermodynamic_features_PROPER+extended ,thermodynamic_features_fine_beta_FINER_PROPER+extended ,state_and_edge_entropies+extended ,state_and_edge_entropies_fine_alpha+extended ,baseline_state_and_edge+extended ,thermodynamic_features_PROPER+extended +baseline_state_and_edge,thermodynamic_features_fine_beta_FINER_PROPER+extended +baseline_state_and_edge,state_and_edge_entropies+extended +baseline_state_and_edge,state_and_edge_entropies_fine_alpha+extended +baseline_state_and_edge
3D_fixations,condition_label,0.1919256414269687,0.2165789817598155,0.2401232371599271,0.1583697291018548,0.1441939028317633,0.1904314999532418,0.1906032472433445,0.2082067582243628,0.1883142599758334,0.190722197094484,0.1914138873261288,0.203053133657875,0.1882657212078651,0.1960260706761056,0.1811065383328172
AFC_fixations,mod_label,0.1535055013347246,0.1592371512315611,0.1704546422514167,0.1443764482195547,0.1727025427181012,0.1650494115400473,0.1584889971078251,0.1793539250224645,0.1912368670789546,0.1849425414431516,0.1483051516129742,0.1553066117660845,0.1873877182749001,0.1823063397672213,0.1941474647268302
AFC_fixations,scr_label,0.2400523540114817,0.2244278846006498,0.2229331925196498,0.232555174951824,0.2017350995182719,0.2114508555860361,0.2355728454441699,0.253494191888178,0.256349874624081,0.2209532469491225,0.2347343255052093,0.2334649307118633,0.2487591556893028,0.230656358462833,0.2236867253086654
APP_fixations,known_label,0.4475302940741835,0.4365539743340144,0.4488981085459228,0.4341371320689951,0.4382132462132462,0.4224402207234825,0.4500072982046416,0.4739904167669058,0.4693651308674021,0.4590950373235908,0.4461650382157882,0.4566298940082197,0.4734419014084507,0.467778782701906,0.4552664188351921
APP_fixations,meta_certainty_label,0.1035168921465879,0.1009451023207637,0.1056218994197856,0.11208437521597,0.0981034019931913,0.1013623297799868,0.1051438119107292,0.1060771148516103,0.102154573503399,0.1181749492348236,0.102661537245167,0.1048489958967086,0.1087892208845362,0.1043994056514754,0.1041774751405101
APP_fixations,mod_label,0.2585604649882861,0.2227287208800155,0.2337098507389903,0.1933040423755458,0.1857755659775931,0.1856523413964422,0.2658680911768953,0.2714290188706925,0.2690104576409702,0.2693364510888044,0.2913604573569375,0.283009874640272,0.2788112912729091,0.2661335789736603,0.2583209998226315
Age_study_fixations,meta_age_label,0.3419486248049083,0.3703838979029092,0.3610243622568581,0.3522291317377752,0.3484068540010681,0.3176541637998972,0.3301055525087976,0.3351074751929107,0.3337314419493913,0.3253153459444513,0.3409321987621578,0.3372768407350174,0.3387014036803636,0.3293506970223236,0.3207941376362428
Gap_fixations,gap_label,0.3598458953733365,0.2554560461652604,0.2674485809743763,0.3206928643287878,0.3498519310494163,0.2351787933006967,0.3801524834670532,0.363632173448138,0.3533247551098824,0.3568398403216216,0.3518211172729829,0.3728405128525326,0.3664951520214677,0.3553557086516413,0.3527332697866995
Memory_fixations,condition_label,0.4140891674856532,0.4333387238798494,0.3959125041666462,0.4295898761624478,0.4390244835581143,0.4339316467319941,0.4282741461011486,0.4355598265833029,0.4366322133565917,0.4392719534199443,0.4134511872398436,0.4262433671744244,0.4264866870827387,0.4356585495518434,0.4315946657497558
Webtask_fixations,familiarity_label,0.1571741511500547,0.1298057688097772,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1298057688097772,0.1571741511500547,0.1571741511500547,0.1617933723196881,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1571741511500547,0.1571741511500547
Webtask_fixations,relevance_label,0.1352767467136968,0.1478632478632478,0.1297468354430379,0.1297468354430379,0.1297468354430379,0.1297468354430379,0.1363728945370604,0.1363728945370604,0.1352767467136968,0.1812796516033926,0.1644786662735781,0.1352767467136968,0.1352767467136968,0.1812796516033926,0.1720750875137721
Webtask_fixations,search_result_label,0.1445195195195195,0.1339826839826839,0.1297468354430379,0.1297468354430379,0.1447960737857505,0.0483535108958837,0.147261488574758,0.147261488574758,0.147261488574758,0.1519407066533351,0.147261488574758,0.1536896199347561,0.147261488574758,0.147261488574758,0.1344156133663256
Webtask_school_fixations,familiarity_label,0.235408560311284,0.1603644646924829,0.2365702479338843,0.16,0.2365702479338843,0.1533834586466165,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843,0.2365702479338843
Webtask_school_fixations,relevance_label,0.1546149635358726,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1461859979101358,0.1333333333333333,0.1478883861236802,0.1480258162490508,0.1480258162490508,0.1525398591027067,0.1480258162490508,0.1480258162490508,0.1480258162490508,0.1480258162490508,0.1525398591027067
Webtask_school_fixations,search_result_label,0.1419562780269058,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1620422346966052,0.1333333333333333,0.1520550527903469,0.1599305781538127,0.1570001752234098,0.1566755083996463,0.1333333333333333,0.1333333333333333,0.1570001752234098,0.1570001752234098,0.1566755083996463
