base_dataset,label,extended_only,thermodynamic_features_PROPER,thermodynamic_features_fine_beta_FINER_PROPER,state_and_edge_entropies,state_and_edge_entropies_fine_alpha,baseline_state_and_edge,thermodynamic_features_PROPER+extended ,thermodynamic_features_fine_beta_FINER_PROPER+extended ,state_and_edge_entropies+extended ,state_and_edge_entropies_fine_alpha+extended ,baseline_state_and_edge+extended ,thermodynamic_features_PROPER+extended +baseline_state_and_edge,thermodynamic_features_fine_beta_FINER_PROPER+extended +baseline_state_and_edge,state_and_edge_entropies+extended +baseline_state_and_edge,state_and_edge_entropies_fine_alpha+extended +baseline_state_and_edge
3D_fixations,condition_label,0.2019148458761855,0.2401114927996648,0.2497993879608891,0.2101500769807224,0.2254035799793163,0.2652255842838746,0.2097685540752844,0.1876850562667072,0.2459402913880858,0.2111768875991043,0.2341905384447672,0.1873961736205591,0.2033764985989593,0.2325850762705693,0.2335453976957405
AFC_fixations,mod_label,0.1440072871062833,0.1807589500383325,0.1752587047530867,0.1718020541077887,0.1615667527909439,0.138377185543613,0.1803074493121489,0.1219069214067122,0.1334560580107193,0.1558518204055729,0.1617067229396792,0.1519764244930868,0.1475960218869006,0.1487175701828256,0.1558518204055729
AFC_fixations,scr_label,0.2110751869500405,0.2197024849868713,0.2454136101945946,0.2100651710212374,0.2157315194552036,0.2073679755604057,0.2362827287561574,0.2344892001831101,0.2286566796089343,0.2288715269596089,0.2194316715435401,0.2515248692441268,0.2282211148172917,0.2399712542057425,0.2288715269596089
APP_fixations,known_label,0.5440404554058254,0.611192242343873,0.6402239757691695,0.5691645909666669,0.5747916666666667,0.5383583667924787,0.5305782283701349,0.5326713621022723,0.5334269334269334,0.5224055224055224,0.5457182880807122,0.5224055224055224,0.538412639552901,0.5217092733487276,0.5224055224055224
APP_fixations,meta_certainty_label,0.1390921432865925,0.1593181996751632,0.1829176764263551,0.162256039303344,0.186619869642806,0.1579731783236631,0.133066314688332,0.1979628289357266,0.1452457119166869,0.1554577411395054,0.1511434767608269,0.1425811508962839,0.1858870654741385,0.128025653759127,0.1554577411395054
APP_fixations,mod_label,0.4055838243060631,0.3687253260720781,0.3648299375043561,0.3457622959730123,0.3326550435404335,0.3203619779274238,0.4356216354079939,0.4228289497423172,0.3941996664203695,0.4114550737375764,0.3850897279756059,0.4016339190221543,0.4097420404289271,0.4137773469926381,0.4114550737375764
Age_study_fixations,meta_age_label,0.3450413354119144,0.3681253711553848,0.3843250644657305,0.3499027838661787,0.3612616947982714,0.3372074936741571,0.3803618256370482,0.3823109192365726,0.3581491821701748,0.3519280351311967,0.3254677168719319,0.3890002903828902,0.3956586366676544,0.3622335862788868,0.3552018607959904
Gap_fixations,gap_label,0.2915821022759673,0.2531171899338166,0.2432922388014116,0.3302247910911929,0.3336797354542057,0.2651466234122491,0.3115138450597804,0.2913448906694461,0.3166744244985398,0.2889526876955116,0.3149410446881798,0.3159676175259862,0.3284683869907672,0.3232560043043734,0.3088056875972202
Memory_fixations,condition_label,0.4306407043249149,0.4269567091494836,0.4077347450591224,0.3840657256318636,0.4143709046912451,0.3845609702309887,0.4554048631472009,0.4702679655551992,0.4687450692566411,0.455302225097096,0.4507416937875205,0.4633658277939768,0.4709122782934855,0.4698029467468095,0.442668471808965
Webtask_fixations,familiarity_label,0.161474866743802,0.1774498402221174,0.1779649643286006,0.2039348107953244,0.1686156763590391,0.1683221210922042,0.1613349931484376,0.157249954287804,0.1665282186687236,0.1663980463980464,0.1659687159687159,0.1616152117512031,0.1663115504301665,0.1659493200494851,0.1663980463980464
Webtask_fixations,relevance_label,0.3414957093431911,0.3655703177165222,0.3667629268208031,0.3299175304165384,0.3502094087347848,0.3296817866030139,0.3663355599556632,0.3446599564242081,0.3917888130801558,0.3591022666038102,0.3654101773535669,0.3532638128806537,0.3535005506585482,0.3505158561416432,0.3591022666038102
Webtask_fixations,search_result_label,0.3402368472827468,0.3677790347563701,0.3586117540433551,0.3407852163985017,0.3645788318567929,0.358936487535125,0.3164214014427526,0.3292524599481421,0.3312323717157902,0.352471060155096,0.3332979440150533,0.3301631624119488,0.3205815290877918,0.3299414970032253,0.352471060155096
Webtask_school_fixations,familiarity_label,0.2533521780097122,0.2365702479338843,0.2360248447204969,0.2360248447204969,0.2360248447204969,0.2360248447204969,0.2365702479338843,0.2360248447204969,0.2354771784232365,0.235408560311284,0.2365702479338843,0.2365702479338843,0.2360248447204969,0.2360248447204969,0.235408560311284
Webtask_school_fixations,relevance_label,0.3161569194897112,0.3835018403983921,0.3223397012295246,0.326068908260689,0.3438296596191333,0.3318713450292398,0.3596177921646629,0.3276018099547511,0.3132126089872568,0.3454673632042935,0.3370221327967806,0.3474848871388165,0.34,0.3113041826900251,0.3454673632042935
Webtask_school_fixations,search_result_label,0.3146071170782338,0.3205726554388188,0.3311896585239421,0.3419404603946842,0.3226437819933754,0.3164354743277891,0.3355287605859688,0.2836058849990738,0.3142025089605735,0.3271618063723169,0.3310276679841897,0.3699121107645078,0.3187989631715118,0.3189646215110453,0.3271618063723169
